,latency (ms),throughput (obj/sec),accuracy
default_model,0.8210571050643921,1217.9420820206826,0.984
model_quant,0.8276263236999513,1208.274762853654,0.9836
onnx_model,0.6592154264450073,1516.9547918390854,0.984
onnx_model_opt,0.6505089998245239,1537.2577478094106,0.984
